country,life ladder,log gdp per capita,social support,healthy life expectancy at birth,freedom to make life choices,generosity,perceptions of corruption,positive affect,negative affect,total suicide rate,average yearly temperature (1961â€“1990 celsius),inequality,anxiety disorders,drug use disorders,depression,alcohol use disorders,continent,iso_alpha,iso_num
South Africa,5.035,9.432,0.848,56.9,0.738,-0.134,0.82,0.801,0.268,23.5,17.75,107.0,3.92,0.98,4.45,1.94,Africa,ZAF,710
Uruguay,6.6,9.979,0.933,69.1,0.903,-0.095,0.599,0.889,0.222,21.2,17.55,48.0,5.58,1.34,3.07,1.83,Americas,URY,858
Japan,5.908,10.632,0.878,75.1,0.806,-0.255,0.617,0.743,0.194,15.3,11.15,18.0,2.54,0.85,2.3,0.65,Asia,JPN,392
Estonia,6.035,10.511,0.934,68.8,0.887,-0.096,0.576,0.804,0.156,14.9,2.0,19.0,3.65,1.69,3.99,1.86,No data,No data,No data
Zimbabwe,2.694,7.95,0.759,56.2,0.632,-0.064,0.831,0.716,0.235,14.1,21.0,111.0,3.28,0.61,3.55,1.78,Africa,ZWE,716
Sri Lanka,4.213,9.479,0.815,67.4,0.824,0.051,0.863,0.816,0.315,14.0,26.95,60.0,4.25,0.61,3.02,0.87,Asia,LKA,144
Mozambique,4.932,7.155,0.742,55.2,0.87,0.073,0.682,0.587,0.384,13.6,23.8,140.0,4.11,0.37,5.09,1.66,Africa,MOZ,508
India,3.249,8.818,0.561,60.5,0.876,0.112,0.752,0.648,0.466,12.7,23.65,104.0,3.04,0.52,3.75,1.18,Asia,IND,356
Netherlands,7.425,10.953,0.941,72.4,0.886,0.213,0.36,0.838,0.231,11.8,9.25,8.0,7.45,1.15,3.9,1.81,Europe,NLD,528
Norway,7.442,11.061,0.942,73.3,0.954,0.111,0.271,0.823,0.195,11.8,1.5,1.0,7.3,1.05,3.51,1.71,Europe,NOR,578
Bulgaria,5.108,10.047,0.948,67.0,0.822,-0.109,0.943,0.663,0.2,9.7,10.55,46.0,3.64,0.72,2.88,1.95,Europe,BGR,100
Mauritius,6.241,10.043,0.913,66.7,0.893,-0.053,0.81,0.808,0.149,9.5,22.4,54.0,3.96,0.7,3.95,1.26,Africa,MUS,480
North Macedonia,5.015,9.711,0.815,65.474,0.725,0.024,0.923,0.576,0.304,9.4,9.8,58.0,3.85,0.45,2.76,1.9,No data,No data,No data
Nepal,5.449,8.136,0.772,64.6,0.79,0.167,0.712,0.536,0.357,9.0,8.1,109.0,3.39,0.39,5.06,1.23,Asia,NPL,524
Cameroon,4.937,8.203,0.711,53.5,0.712,-0.008,0.817,0.629,0.326,9.0,24.6,126.0,3.28,0.47,4.73,0.58,Africa,CMR,120
Pakistan,4.443,8.453,0.617,58.9,0.685,0.124,0.776,0.581,0.424,8.9,20.2,124.0,3.61,0.46,4.1,1.42,Asia,PAK,586
Thailand,6.022,9.824,0.903,67.4,0.898,0.309,0.877,0.843,0.208,8.8,26.3,65.0,3.57,0.85,2.99,1.22,Asia,THA,764
Togo,4.179,7.375,0.539,55.1,0.617,0.065,0.737,0.59,0.444,8.8,27.15,128.0,3.66,0.29,4.58,0.53,Africa,TGO,768
Gabon,4.914,9.607,0.763,60.2,0.736,-0.203,0.846,0.693,0.413,8.4,25.05,93.0,4.06,0.43,5.65,1.2,Africa,GAB,266
Costa Rica,6.998,9.885,0.906,71.5,0.927,-0.146,0.836,0.848,0.303,8.1,24.8,64.0,4.47,0.62,3.42,1.93,Americas,CRI,188
Benin,4.976,8.098,0.442,54.7,0.77,-0.016,0.698,0.659,0.441,7.8,27.55,134.0,3.29,0.35,4.54,0.56,Africa,BEN,204
Spain,6.457,10.618,0.949,74.7,0.778,-0.049,0.73,0.663,0.316,7.7,13.3,34.0,5.36,1.78,5.19,1.73,Europe,ESP,724
Ecuador,5.809,9.339,0.808,68.8,0.83,-0.115,0.839,0.811,0.374,7.6,21.85,73.0,5.51,0.65,3.51,1.01,Americas,ECU,218
Vietnam,5.467,8.992,0.848,68.1,0.952,-0.126,0.788,0.751,0.186,7.5,24.45,82.0,2.39,0.62,2.58,1.28,Asia,VNM,704
Burkina Faso,4.741,7.691,0.683,54.4,0.678,-0.004,0.729,0.691,0.365,7.5,28.29,140.0,3.15,0.27,4.43,0.56,Africa,BFA,854
Zambia,3.307,8.155,0.638,55.8,0.811,0.077,0.832,0.743,0.394,7.3,21.4,117.0,4.05,0.34,4.3,1.56,Africa,ZMB,894
Guinea,4.768,7.849,0.655,55.5,0.691,0.097,0.756,0.685,0.473,7.0,25.7,142.0,3.39,0.27,4.44,0.51,Africa,GIN,324
Italy,6.445,10.655,0.838,73.8,0.709,-0.082,0.866,0.631,0.328,6.7,13.45,34.0,5.98,1.01,3.83,1.61,Europe,ITA,380
Sierra Leone,3.447,7.449,0.611,52.4,0.718,0.074,0.874,0.513,0.438,6.7,26.05,147.0,3.72,0.36,4.46,0.51,Africa,SLE,694
Ghana,4.967,8.596,0.746,57.6,0.787,0.116,0.857,0.682,0.27,6.6,27.2,112.0,3.07,0.53,4.46,0.56,Africa,GHA,288
Chad,4.251,7.365,0.64,48.7,0.537,0.055,0.832,0.587,0.46,6.4,26.55,151.0,3.43,0.29,5.22,0.51,Africa,TCD,148
Bolivia,5.674,9.074,0.784,63.9,0.881,-0.086,0.857,0.751,0.419,6.2,21.55,92.0,5.99,0.8,3.55,1.0,Americas,BOL,68
Kenya,4.619,8.373,0.676,60.7,0.818,0.31,0.794,0.751,0.251,6.1,24.75,110.0,3.52,0.33,4.86,0.74,Africa,KEN,404
Malta,6.733,10.677,0.922,72.2,0.924,0.087,0.689,0.707,0.356,6.1,19.2,22.0,6.87,0.97,3.44,1.88,No data,No data,No data
Senegal,5.489,8.13,0.688,60.0,0.759,-0.019,0.796,0.789,0.332,6.0,27.85,129.0,2.95,0.33,4.1,0.49,Africa,SEN,686
Madagascar,4.339,7.406,0.701,59.5,0.55,-0.012,0.72,0.723,0.304,5.5,22.65,121.0,4.07,0.35,4.87,1.38,Africa,MDG,450
Malawi,3.869,6.966,0.549,58.3,0.765,0.004,0.68,0.537,0.348,5.4,21.9,133.0,3.96,0.35,4.22,1.52,Africa,MWI,454
Laos,5.197,8.965,0.729,59.1,0.906,0.061,0.62,0.878,0.306,5.4,22.8,108.0,4.75,0.48,2.85,0.87,No data,No data,No data
Comoros,4.609,8.033,0.632,57.5,0.538,0.077,0.762,0.736,0.336,5.4,25.3,143.0,3.68,0.35,4.42,1.31,Africa,COM,174
Mexico,6.432,9.891,0.852,68.6,0.903,-0.141,0.809,0.864,0.252,5.3,21.0,74.0,3.74,0.58,3.77,1.39,Americas,MEX,484
Niger,5.004,7.106,0.677,54.0,0.831,0.026,0.729,0.816,0.304,5.3,27.15,149.0,3.02,0.3,4.3,0.47,Africa,NER,562
Israel,7.332,10.601,0.946,73.5,0.834,0.085,0.743,0.635,0.266,5.3,19.2,25.0,4.05,0.86,4.47,0.95,Asia,ISR,376
Greece,5.952,10.319,0.891,72.6,0.614,-0.289,0.848,0.668,0.236,5.1,15.4,31.0,6.31,0.67,5.5,1.8,Europe,GRC,300
Cambodia,4.998,8.387,0.759,62.0,0.957,0.013,0.828,0.844,0.39,4.9,26.8,104.0,4.71,0.44,3.04,0.79,Asia,KHM,116
Dominican Republic,6.004,9.821,0.884,66.1,0.877,-0.123,0.746,0.784,0.264,4.9,24.55,79.0,4.71,0.65,4.0,1.36,Americas,DOM,214
Gambia,5.164,7.699,0.694,55.3,0.677,0.41,0.798,0.773,0.401,4.8,27.5,135.0,3.41,0.36,5.66,0.53,Africa,GMB,270
Uganda,4.948,7.688,0.805,56.1,0.704,0.139,0.826,0.693,0.385,4.6,22.8,118.0,4.15,0.43,6.69,0.86,Africa,UGA,800
Liberia,5.121,7.264,0.712,56.9,0.706,0.051,0.828,0.636,0.389,4.5,25.3,138.0,3.55,0.41,4.61,0.52,Africa,LBR,430
Tanzania,3.64,7.886,0.687,58.0,0.85,0.1,0.589,0.726,0.243,4.3,22.35,119.0,3.91,0.4,4.77,1.45,Africa,TZA,834
Albania,4.995,9.544,0.686,69.0,0.777,-0.099,0.914,0.681,0.274,4.3,11.4,50.0,4.1,0.49,2.63,1.79,Europe,ALB,8
Mali,4.988,7.752,0.755,52.2,0.67,-0.038,0.846,0.712,0.358,4.1,28.25,148.0,2.77,0.27,3.6,0.47,Africa,MLI,466
Bangladesh,5.114,8.467,0.673,64.8,0.902,-0.051,0.656,0.537,0.369,3.7,25.0,102.0,3.27,0.37,4.75,1.16,Asia,BGD,50
Cyprus,6.137,10.585,0.776,73.9,0.74,-0.008,0.865,0.763,0.29,3.6,18.45,30.0,7.01,0.67,3.38,1.8,No data,No data,No data
Nigeria,4.356,8.544,0.734,50.1,0.729,0.032,0.873,0.715,0.245,3.5,27.0,129.0,3.03,0.3,3.87,0.51,Africa,NGA,566
Tunisia,4.315,9.283,0.61,67.2,0.659,-0.209,0.889,0.539,0.433,3.3,19.2,77.0,5.47,0.47,5.34,0.42,Africa,TUN,788
Mauritania,4.153,8.556,0.798,57.3,0.628,-0.102,0.743,0.692,0.26,3.1,27.65,127.0,2.82,0.37,3.76,0.46,Africa,MRT,478
Panama,6.086,10.356,0.886,69.7,0.883,-0.199,0.869,0.878,0.244,2.9,25.4,66.0,3.88,0.57,3.12,1.65,Americas,PAN,591
Peru,5.999,9.461,0.809,68.4,0.815,-0.13,0.874,0.82,0.375,2.8,19.6,71.0,5.84,0.94,2.33,0.81,Americas,PER,604
Indonesia,5.347,9.377,0.802,62.3,0.866,0.555,0.861,0.877,0.302,2.4,25.85,81.0,3.7,0.48,2.52,0.51,Asia,IDN,360
Turkey,4.872,10.246,0.792,67.2,0.631,-0.136,0.76,0.422,0.368,2.4,9.9,57.0,4.76,0.38,4.16,0.51,Europe,TUR,792
Jamaica,6.309,9.186,0.878,67.5,0.891,-0.137,0.885,0.752,0.195,2.4,24.95,76.0,4.24,1.05,3.2,1.1,Americas,JAM,388
Philippines,6.268,9.095,0.845,62.0,0.91,-0.083,0.748,0.781,0.341,2.2,25.55,84.0,4.75,0.55,2.89,0.81,Asia,PHL,608
